team,league,season,final_position,pts,wins,draws,losses,gf,ga,gd,manager,stadium,city,founded,capacity,nickname,chairman,players_used,Age,Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,url,players_used_shooting,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,url_shooting,players_used_misc,90s_misc,Performance_CrdY_misc,Performance_CrdR_misc,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,url_misc,players_used_playing_time,Age_playing_time,Playing Time_MP_playing_time,Playing Time_Min_playing_time,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_playing_time,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,url_playing_time
Arsenal,ENG-Premier League,2324,2,89,28,5,5,91,29,62,Mikel Arteta,Emirates Stadium,London,1886,"60,704",The Gunners,Stan Kroenke|Josh Kroenke,25,25.0,58.2,38,418,3420,38,86,62,148,76,10,10,64,2,2.26,1.63,3.89,2.0,3.63,/en/squads/18bb7c10/2023-2024/Arsenal-Stats,25,38,86,647,209,32.3,17.03,5.5,0.12,0.36,10,10,/en/squads/18bb7c10/2023-2024/Arsenal-Stats,25,38,64,2,1,391,394,87,670,292,348,9,3,1,/en/squads/18bb7c10/2023-2024/Arsenal-Stats,25,25.0,38,3420,90,100,38,418,84,263,154,17,188,2.34,91,29,62,1.63,/en/squads/18bb7c10/2023-2024/Arsenal-Stats
Aston Villa,ENG-Premier League,2324,4,68,20,8,10,76,61,15,Unai Emery,Villa Park,Birmingham,1874,"43,205",The Villans,Nassef Sawiris,31,26.9,53.1,38,418,3420,38,72,55,127,68,4,4,94,2,1.89,1.45,3.34,1.79,3.24,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,31,38,72,511,182,35.6,13.45,4.79,0.13,0.37,4,4,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,31,38,94,2,0,412,473,47,651,236,311,4,2,4,/en/squads/8602292d/2023-2024/Aston-Villa-Stats,31,26.9,38,3420,90,100,38,418,83,270,151,19,186,1.79,76,61,15,0.39,/en/squads/8602292d/2023-2024/Aston-Villa-Stats
Bournemouth,ENG-Premier League,2324,13,48,13,9,16,54,67,-13,Andoni Iraola,Dean Court,Bournemouth,1899,"11,307",The Cherries,Bill Foley,30,25.7,44.4,38,418,3420,38,52,39,91,50,2,3,79,3,1.37,1.03,2.39,1.32,2.34,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,30,38,52,539,175,32.5,14.18,4.61,0.09,0.29,2,3,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,30,38,79,3,0,507,376,56,709,357,410,3,7,1,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats,30,25.7,38,3420,90,100,38,418,82,247,170,20,171,1.26,54,67,-13,-0.34,/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
Brentford,ENG-Premier League,2324,16,39,10,9,19,56,65,-9,Thomas Frank,Brentford Community Stadium,London,1889,"17,250",The Bees,Cliff Crown,28,26.6,45.2,38,418,3420,38,54,38,92,51,3,3,89,2,1.42,1.0,2.42,1.34,2.34,/en/squads/cd051869/2023-2024/Brentford-Stats,28,38,54,470,159,33.8,12.37,4.18,0.11,0.32,3,3,/en/squads/cd051869/2023-2024/Brentford-Stats,28,38,89,2,0,385,419,70,706,378,399,3,2,0,/en/squads/cd051869/2023-2024/Brentford-Stats,28,26.6,38,3420,90,100,38,418,83,247,170,16,172,1.03,56,65,-9,-0.24,/en/squads/cd051869/2023-2024/Brentford-Stats
Brighton,ENG-Premier League,2324,11,48,12,12,14,55,62,-7,Roberto De Zerbi,Falmer Stadium,Brighton and Hove,1901,"31,876",The Seagulls,Tony Bloom,30,25.9,59.8,38,418,3420,38,50,36,86,45,5,6,90,3,1.32,0.95,2.26,1.18,2.13,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,30,38,50,555,198,35.7,14.61,5.21,0.08,0.23,5,6,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,30,38,90,3,0,414,454,84,671,288,366,6,6,2,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats,30,25.9,38,3420,90,100,38,418,80,239,176,23,166,1.26,55,62,-7,-0.18,/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
Burnley,ENG-Premier League,2324,19,24,5,9,24,41,78,-37,Vincent Kompany,Turf Moor,Burnley,1882,"21,944",The Clarets,Alan Pace,31,24.5,47.4,38,418,3420,38,40,30,70,37,3,3,77,7,1.05,0.79,1.84,0.97,1.76,/en/squads/943e8050/2023-2024/Burnley-Stats,31,38,40,430,137,31.9,11.32,3.61,0.09,0.27,3,3,/en/squads/943e8050/2023-2024/Burnley-Stats,31,38,77,7,3,429,353,76,550,280,342,3,7,3,/en/squads/943e8050/2023-2024/Burnley-Stats,31,24.5,38,3420,90,100,38,418,82,255,162,19,180,0.63,41,78,-37,-0.97,/en/squads/943e8050/2023-2024/Burnley-Stats
Chelsea,ENG-Premier League,2324,6,63,18,9,11,77,63,14,Mauricio Pochettino,Stamford Bridge,London,1905,"40,044",The Blues,Todd Boehly,32,24.2,58.6,38,418,3420,38,76,51,127,65,11,12,109,4,2.0,1.34,3.34,1.71,3.05,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,32,38,76,537,194,36.1,14.13,5.11,0.12,0.34,11,12,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,32,38,109,4,2,446,451,85,558,298,376,11,5,3,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats,32,24.2,38,3420,90,100,38,418,84,267,148,17,193,1.66,77,63,14,0.37,/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
Crystal Palace,ENG-Premier League,2324,10,49,13,10,15,57,58,-1,Oliver Glasner,Selhurst Park,London,1905,"25,486",The Eagles,Steve Parish,26,26.8,42.3,38,418,3420,38,56,43,99,52,4,4,73,2,1.47,1.13,2.61,1.37,2.5,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,26,38,56,452,162,35.8,11.89,4.26,0.12,0.32,4,4,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,26,38,73,2,2,457,427,72,583,323,464,4,3,2,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats,26,26.8,38,3420,90,100,38,418,85,292,126,16,214,1.29,57,58,-1,-0.03,/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
Everton,ENG-Premier League,2324,12,48,13,9,16,40,51,-11,Sean Dyche,Goodison Park,Liverpool,1878,"52,769",The Toffees,Dan Friedkin,26,27.1,40.8,38,418,3420,38,40,17,57,38,2,3,82,1,1.05,0.45,1.5,1.0,1.45,/en/squads/d3fd31cc/2023-2024/Everton-Stats,26,38,40,504,152,30.2,13.26,4.0,0.08,0.25,2,3,/en/squads/d3fd31cc/2023-2024/Everton-Stats,26,38,82,1,1,457,361,89,752,358,442,2,8,3,/en/squads/d3fd31cc/2023-2024/Everton-Stats,26,27.1,38,3420,90,100,38,418,85,299,121,19,218,1.26,40,51,-11,-0.29,/en/squads/d3fd31cc/2023-2024/Everton-Stats
Fulham,ENG-Premier League,2324,14,47,13,8,17,55,61,-6,Marco Silva,Craven Cottage,London,1879,"27,782",The Cottagers,Shahid Khan,25,28.4,50.6,38,418,3420,38,54,40,94,52,2,2,84,4,1.42,1.05,2.47,1.37,2.42,/en/squads/fd962109/2023-2024/Fulham-Stats,25,38,54,499,175,35.1,13.13,4.61,0.1,0.3,2,2,/en/squads/fd962109/2023-2024/Fulham-Stats,25,38,84,4,3,384,364,51,736,371,384,2,8,4,/en/squads/fd962109/2023-2024/Fulham-Stats,25,28.4,38,3420,90,100,38,418,82,244,170,18,171,1.24,55,61,-6,-0.16,/en/squads/fd962109/2023-2024/Fulham-Stats
Liverpool,ENG-Premier League,2324,3,82,24,10,4,86,41,45,Jurgen Klopp,Anfield,Liverpool,1892,"61,276",The Reds,Tom Werner,30,26.3,61.3,38,418,3420,38,80,60,140,74,6,9,69,5,2.11,1.58,3.68,1.95,3.53,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,30,38,80,781,263,33.7,20.55,6.92,0.09,0.28,6,9,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,30,38,69,5,2,463,376,100,817,292,418,8,1,2,/en/squads/822bd0ba/2023-2024/Liverpool-Stats,30,26.3,38,3420,90,100,38,418,82,248,166,20,176,2.16,86,41,45,1.18,/en/squads/822bd0ba/2023-2024/Liverpool-Stats
